po_ref,vendor_name,product_reference,order_date,difot_date,order_qty,received_qty_before_difot,line_difot_score
PO04159,Yangtze Optical Fibre and Cable Joint Stock Limited Company (YOFC),1005754-002,2020-08-16 23:44:12,2020-09-20 23:44:12,10.0,10.0,1.0
PO07092,Marketing Trends,23220,2022-03-09 22:32:04,2022-03-16 22:32:04,1.0,1.0,1.0
PO05605,"DJ MODEL & TOOLING CO.,LIMITED",1007793-003,2021-07-09 01:02:05,2021-08-13 01:02:05,10.0,10.0,1.0
PO05661,Open Wiring Systems,1007343-001,2021-07-18 23:54:07,2021-08-22 23:54:07,5.0,5.0,1.0
PO06824,The Fastener Factory (AKA Hardware Bargains),29000,2022-01-17 01:38:46,2022-02-21 01:38:46,1.0,23.0,1.0
PO06824,The Fastener Factory (AKA Hardware Bargains),24015,2022-01-17 01:38:46,2022-02-21 01:38:46,1.0,1.0,1.0
PO06795,Aus Electronics Direct,29000,2022-01-11 22:52:33,2022-02-15 22:52:33,11.0,11.0,1.0
PO06890,Small Parts & Bearings Pty Ltd,60500,2022-02-01 00:57:11,2022-03-08 00:57:11,1.0,5.0,1.0
PO06889,RS Components Pty Ltd,60500,2022-02-01 00:29:12,2022-03-08 00:29:12,1.0,8.0,1.0
PO07252,RS Components Pty Ltd,23008,2022-04-22 00:17:28,2022-04-29 00:17:28,23.0,23.0,1.0
PO04636,Micro Fasteners Pty Ltd,1001850-001,2021-01-11 02:29:19,2021-02-01 02:29:19,500.0,500.0,1.0
PO04636,Micro Fasteners Pty Ltd,1004936-001,2021-01-11 02:29:19,2021-02-15 02:29:19,500.0,500.0,1.0
PO06790,Officeworks Ltd.,23005,2022-01-10 04:44:12,2022-01-17 04:44:12,3.0,3.0,1.0
PO04810,Zhongshan Meisu Technology Co Ltd,1005735-002,2021-02-08 01:30:04,2021-03-15 01:30:04,4.0,3.0,0.75
PO07137,Mwave.com.au,60500,2022-03-18 01:51:17,2022-04-22 01:51:17,1.0,4.0,0.75
PO04852,"Mouser Electronics, Inc.",1006105-001,2021-02-15 23:36:52,2021-03-15 23:36:52,100.0,100.0,1.0
PO06392,II-VI Marlow,1007310-001,2021-11-08 22:46:13,2021-12-27 22:46:13,30.0,30.0,1.0
